Issuer,Shares,Cost,Carrying Value,,https://atbim.atb.com/siteassets/investor-information/compass-series-annual-report.pdf
Abbott Laboratories,"13,896","1,952,479","2,259,350",,Page 106 to 112
AbbVie Inc.,"2,828","569,968","722,370",,Calendar Year 2024 Data
Accenture PLC CI. A,"3,969","1,431,098","2,007,046",,
ADENTRA Inc.,"3,335","109,740","123,829",,
Admiral Group PLC,"20,598","903,789","980,051",,
Advantage Energy Ltd.,"18,900","186,219","186,354",,
Adyen NV,446,"974,152","954,292",,
AG Growth International Inc.,"4,600","253,420","233,772",,
Air Liquide SA,"5,653","1,051,601","1,320,830",,
Algonquin Power & Utilities Corp.,"42,022","316,416","268,100",,
Alimentation Couche-Tard Inc.,"17,391","714,838","1,386,410",,
Alphabet Inc. CI. C,"15,532","1,888,685","4,251,854",,
AltaGas Ltd.,"15,556","408,712","520,815",,
Altus Group Limited,"5,857","304,555","327,992",,
"Amazon.com, Inc.","10,712","1,793,730","3,378,159",,
"American Electric Power Company, Inc.","13,215","1,597,138","1,751,992",,
"AMETEK, Inc.","4,311","598,500","1,117,044",,
Amphenol Corporation CI. A,"48,522","2,262,437","4,843,995",,
Andlauer Healthcare Group Inc. Sub. Voting,"4,801","181,963","202,602",,
Antin Infrastructure Partners SA,"5,567","168,860","91,512",,
Aon PLC CI. A,"9,757","3,749,521","5,037,291",,
"AptarGroup, Inc.","11,930","2,139,202","2,694,073",,
Arthur J. Gallagher & Co.,"8,446","1,680,275","3,446,138",,
Ashtead Group PLC,"22,225","1,936,734","1,985,744",,
ASM International NV,"1,142","677,423","950,193",,
ASML Holding NV,"1,062","932,641","1,073,228",,
AstraZeneca PLC,"8,325","1,433,561","1,568,232",,
AtkinsRealis Group Inc.,"19,773","591,823","1,507,889",,
Azelis Group NV,"32,615","1,088,536","922,700",,
Badger Infrastructure Solutions Ltd.,"15,300","536,489","548,964",,
BAE Systems PLC,"102,728","1,465,719","2,123,157",,
Bank of Montreal,"26,952","2,796,031","3,761,152",,
Baycurrent Inc.,"43,300","1,695,853","2,104,453",,
"Becton, Dickinson and Company","4,877","1,538,208","1,590,459",,
"Bio-Rad Laboratories, Inc. CI. A","2,402","1,212,665","1,134,264",,
BlackBerry Limited,"6,400","27,960","34,944",,
Blackline Safety Corp.,"3,274","18,547","22,361",,
Bombardier Inc. CI. B,"1,000","56,674","97,750",,
BorgWarner Inc.,"11,873","681,723","542,555",,
Boyd Group Services Inc.,"8,049","1,792,584","1,744,862",,
Brookfield Asset Management Ltd. Cl. A,"5,360","201,795","417,866",,
Brookfield Corporation CI. A,"58,968","2,780,794","4,871,936",,
Brookfield Wealth Solutions Ltd.,"2,943","141,738","243,327",,
BRP Inc. Sub. Voting,967,"81,736","70,794",,
Bunzl PLC,"48,489","2,222,904","2,876,025",,
"BWX Technologies, Inc.","8,550","621,904","1,369,005",,
CACI International Inc. CI. A,"2,094","1,468,538","1,216,229",,
Calian Group Ltd.,"3,801","196,165","183,778",,
Canaccord Genuity Group Inc.,"18,900","170,049","191,079",,
Canadian Imperial Bank of Commerce,"30,086","1,901,970","2,735,720",,
Canadian National Railway Company,"25,565","3,541,838","3,731,723",,
Canadian Natural Resources Limited,"15,225","354,497","675,685",,
Canadian Pacific Kansas City Limited,"32,110","2,636,266","3,342,009",,
